function	arguments	platform	pure_rust	ulp	classification
log10	3fe6666666666666	bfc3d3d3d21ccf04	bfc3d3d3d21ccf04	0	ordinary
log10	3ffb333333333333	3fcd7f59aa5becb9	3fcd7f59aa5becb9	0	ordinary
log10	bfe6666666666666	7ff8000000000000	7ff8000000000000	0	exact
log10	3bc79ca10c924223	c034000000000000	c034000000000000	0	ordinary
log10	4415af1d78b58c40	4034000000000000	4034000000000000	0	ordinary
log10	400921fb54442d18	3fdfd14db31ba3bb	3fdfd14db31ba3bb	0	ordinary
log10	3fefffffffffffff	bc8bcb7b1526e50f	bc8bcb7b1526e50f	0	ordinary
log10	3ff0000000000001	3c9bcb7b1526e50d	3c9bcb7b1526e50d	0	ordinary
log2	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
log2	0000000000000000	fff0000000000000	fff0000000000000	0	exact
log2	8000000000000000	fff0000000000000	fff0000000000000	0	exact
log2	7ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
log2	fff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
log2	0000000000000001	c090c80000000000	c090c80000000000	0	ordinary
log2	7fefffffffffffff	4090000000000000	4090000000000000	0	ordinary
log2	bff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
log2	3ff0000000000000	0000000000000000	0000000000000000	0	exact
log2	c000000000000000	7ff8000000000000	7ff8000000000000	0	exact
log2	4000000000000000	3ff0000000000000	3ff0000000000000	0	ordinary
log2	3fe6666666666666	bfe0776228967d13	bfe0776228967d13	0	ordinary
log2	3ffb333333333333	3fe87f42b972949d	3fe87f42b972949d	0	ordinary
log2	bfe6666666666666	7ff8000000000000	7ff8000000000000	0	exact
log2	3bc79ca10c924223	c0509c1165ec0627	c0509c1165ec0627	0	ordinary
log2	4415af1d78b58c40	40509c1165ec0627	40509c1165ec0627	0	ordinary
log2	400921fb54442d18	3ffa6c873498ddf7	3ffa6c873498ddf7	0	ordinary
log2	3fefffffffffffff	bca71547652b82fe	bca71547652b82fe	0	ordinary
log2	3ff0000000000001	3cb71547652b82fd	3cb71547652b82fd	0	ordinary
sin	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
sin	0000000000000000	0000000000000000	0000000000000000	0	exact
sin	8000000000000000	8000000000000000	8000000000000000	0	exact
sin	7ff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
sin	fff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
sin	0000000000000001	0000000000000001	0000000000000001	0	ordinary
sin	7fefffffffffffff	3f7452fc98b34e97	3f7452fc98b34e97	0	ordinary
sin	bff0000000000000	bfeaed548f090cee	bfeaed548f090cee	0	ordinary
sin	3ff0000000000000	3feaed548f090cee	3feaed548f090cee	0	ordinary
sin	c000000000000000	bfed18f6ead1b446	bfed18f6ead1b446	0	ordinary
sin	4000000000000000	3fed18f6ead1b446	3fed18f6ead1b446	0	ordinary
sin	3fe6666666666666	3fe49d6e694619b8	3fe49d6e694619b8	0	ordinary
sin	3ffb333333333333	3fefbbb7d72f98b6	3fefbbb7d72f98b6	0	ordinary
